method,step,time,tau,exercise_steps,train_states_per_step,paths_per_state,total_train_transitions,benchmark_time_steps,benchmark_spot_steps,max_rel,p99_rel,p95_rel,mae,max_abs
direct_chebyshev_d9,0,0.0,1.0,100,121,827,10006700,4000,2000,35.93289128909818,33.64706983413461,25.35478709227309,0.3382770957815474,0.8942839420055453
direct_chebyshev_d9,20,0.2,0.8,100,121,827,10006700,4000,2000,53.7331765517548,50.926570459040356,37.607372849541534,0.3489917060930819,1.0054301622205113
direct_chebyshev_d9,40,0.4,0.6,100,121,827,10006700,4000,2000,65.6934206345979,65.52992183125917,56.71740056964487,0.36186216065587495,1.173568818714334
direct_chebyshev_d9,60,0.6,0.4,100,121,827,10006700,4000,2000,73.18986797081463,72.96116530150023,68.55061757157934,0.37072022467177806,1.4105013543437863
direct_chebyshev_d9,80,0.8,0.19999999999999996,100,121,827,10006700,4000,2000,86.95716818618425,86.64342752316948,79.98220066953972,0.380318976553486,1.8138107584904484
direct_chebyshev_d9,100,1.0,0.0,100,121,827,10006700,4000,2000,0.0,0.0,0.0,0.0,0.0
linear_spline,0,0.0,1.0,100,121,827,10006700,4000,2000,1.123385589921487,1.0764098376509124,0.9149217585397613,0.14953323413214192,0.6120791852149736
linear_spline,20,0.2,0.8,100,121,827,10006700,4000,2000,1.178754654313006,1.1151310167010748,0.9145533547347247,0.12539769546838545,0.5647435990793683
linear_spline,40,0.4,0.6,100,121,827,10006700,4000,2000,1.26022884534373,1.1701038743196683,0.8994866906499296,0.10111513962505721,0.5148602767275419
linear_spline,60,0.6,0.4,100,121,827,10006700,4000,2000,1.2252192667261446,1.1661447597978005,0.8314259439685897,0.0704419874995285,0.4306377286047063
linear_spline,80,0.8,0.19999999999999996,100,121,827,10006700,4000,2000,1.163208579258062,0.9734145041536254,0.6612621466356589,0.03685071565680301,0.31166867735439263
linear_spline,100,1.0,0.0,100,121,827,10006700,4000,2000,0.0,0.0,0.0,0.0,0.0
pchip_spline,0,0.0,1.0,100,121,827,10006700,4000,2000,0.007913807877033706,0.006334428031835947,0.005460420921505152,0.0023854609199945326,0.011402915688268678
pchip_spline,20,0.2,0.8,100,121,827,10006700,4000,2000,0.0012910940474909762,0.001258313727649147,0.001186692953525394,0.0016134000237313555,0.011654828651533222
pchip_spline,40,0.4,0.6,100,121,827,10006700,4000,2000,0.022493237708469595,0.021194147758525822,0.017033830296029843,0.001407586511448142,0.010161656412925879
pchip_spline,60,0.6,0.4,100,121,827,10006700,4000,2000,0.013645378735984384,0.011750932085910229,0.008757795905844318,0.0007809159980587943,0.010064776887130478
pchip_spline,80,0.8,0.19999999999999996,100,121,827,10006700,4000,2000,0.009811713931142177,0.006823501849105154,0.004354395761821769,0.0012076165705165447,0.012431451834524765
pchip_spline,100,1.0,0.0,100,121,827,10006700,4000,2000,0.0,0.0,0.0,0.0,0.0
akima_spline,0,0.0,1.0,100,121,827,10006700,4000,2000,0.008304575475646229,0.005823140887806,0.004641258101225863,0.00342486880689767,0.015071769427681403
akima_spline,20,0.2,0.8,100,121,827,10006700,4000,2000,0.0063624871056284366,0.005340096553236619,0.003499674362170071,0.00262205177435837,0.01349701466544495
akima_spline,40,0.4,0.6,100,121,827,10006700,4000,2000,0.03224857440071755,0.030069342358160847,0.021857414339337956,0.0009507785044459165,0.009395235626467269
akima_spline,60,0.6,0.4,100,121,827,10006700,4000,2000,0.02942519102042244,0.024739927383762156,0.015170554142191641,0.0013330446938308411,0.01047653891381728
akima_spline,80,0.8,0.19999999999999996,100,121,827,10006700,4000,2000,0.02260515427301383,0.017774733300796736,0.009041411125716388,0.001834818264691992,0.01658369857818176
akima_spline,100,1.0,0.0,100,121,827,10006700,4000,2000,0.0,0.0,0.0,0.0,0.0
log_chebyshev_d7,0,0.0,1.0,100,121,827,10006700,4000,2000,41.579617961061395,41.54829203273507,40.92363661985636,144.35815685456203,410.6540108787821
log_chebyshev_d7,20,0.2,0.8,100,121,827,10006700,4000,2000,38.61809104401241,38.59531450114876,38.19684806609809,145.41630744411654,435.3916167921825
log_chebyshev_d7,40,0.4,0.6,100,121,827,10006700,4000,2000,37.9699269757539,37.961299768426436,37.80688117283416,146.2189085775802,465.3452719176113
log_chebyshev_d7,60,0.6,0.4,100,121,827,10006700,4000,2000,47.95116049475356,47.89277172809548,46.81522248506776,146.3000986576171,498.7380023336407
log_chebyshev_d7,80,0.8,0.19999999999999996,100,121,827,10006700,4000,2000,55.41197095689915,55.15828641219844,50.865550527702986,162.0387191683749,842.6406942095904
log_chebyshev_d7,100,1.0,0.0,100,121,827,10006700,4000,2000,0.0,0.0,0.0,0.0,0.0
