method,detail,time,mae,rmse,rel_mae,max_abs_error
ridge polynomial,degree=5, lambda=1e-08,0.200000,0.0077665505,0.0089843534,0.0010652439,0.0761814352
ridge polynomial,degree=9, lambda=1e-06,0.200000,0.0079811294,0.0098876642,0.0011639053,0.1358879028
ridge B-spline,internal_knots=8, lambda=1e-08,0.200000,0.0082031271,0.0102617240,0.0012271933,0.0912583103
LOESS,frac=0.35, local_degree=2,0.200000,0.0084457290,0.0097322916,0.0013270221,0.0891695636
path polynomial,degree=5+payoff, path LS,0.200000,0.0086657102,0.0103033886,0.0013451644,0.0393940817
LOESS,frac=0.22, local_degree=2,0.200000,0.0093266661,0.0130101952,0.0012860900,0.1888584173
ridge B-spline,internal_knots=14, lambda=1e-06,0.200000,0.0094424467,0.0128339048,0.0013100453,0.1136395547
natural cubic spline,internal_knots=10, lambda=1e-06,0.200000,0.0231490989,0.0398440845,0.0068933700,0.4002785216
PCHIP,shape-preserving cubic,0.200000,0.0293161155,0.0460992984,0.0040106359,0.3952681447
natural cubic spline,internal_knots=6, lambda=1e-08,0.200000,0.0443286597,0.0744757145,0.0130409851,0.6762600076
Gaussian kernel,bandwidth=8% spot range,0.200000,0.5923765272,0.7601004364,0.0916359230,2.7968449931
ridge polynomial,degree=9, lambda=1e-06,0.400000,0.0053106611,0.0084842582,0.0016926702,0.1541526151
ridge B-spline,internal_knots=8, lambda=1e-08,0.400000,0.0063309464,0.0089306107,0.0014888148,0.1078010064
ridge polynomial,degree=5, lambda=1e-08,0.400000,0.0063980570,0.0077800561,0.0022753587,0.0433077605
LOESS,frac=0.22, local_degree=2,0.400000,0.0070438825,0.0107638562,0.0015533529,0.1613159501
ridge B-spline,internal_knots=14, lambda=1e-06,0.400000,0.0070904052,0.0099086093,0.0018531611,0.0945509964
LOESS,frac=0.35, local_degree=2,0.400000,0.0078792996,0.0112603401,0.0058320298,0.1144246738
path polynomial,degree=5+payoff, path LS,0.400000,0.0207468964,0.0248830014,0.0092863778,0.0697340260
PCHIP,shape-preserving cubic,0.400000,0.0293251912,0.0529708178,0.0048384845,0.6053925000
natural cubic spline,internal_knots=10, lambda=1e-06,0.400000,0.0294500709,0.0474037358,0.0256953706,0.2216314652
natural cubic spline,internal_knots=6, lambda=1e-08,0.400000,0.0673101247,0.0971443382,0.0452637359,0.3074685287
Gaussian kernel,bandwidth=8% spot range,0.400000,0.7739112522,0.9396055175,0.2201077029,2.2195327116
ridge B-spline,internal_knots=8, lambda=1e-08,0.600000,0.0063635337,0.0093642057,0.0053031237,0.0483341464
LOESS,frac=0.22, local_degree=2,0.600000,0.0069843128,0.0119924242,0.0189875199,0.1187682402
ridge B-spline,internal_knots=14, lambda=1e-06,0.600000,0.0071492058,0.0100984476,0.0036510064,0.0420327681
ridge polynomial,degree=9, lambda=1e-06,0.600000,0.0073300794,0.0122818869,0.0167685467,0.1877898898
LOESS,frac=0.35, local_degree=2,0.600000,0.0148980219,0.0225374741,0.1269596752,0.2165198485
ridge polynomial,degree=5, lambda=1e-08,0.600000,0.0172390070,0.0216372795,0.0527366298,0.1740930846
natural cubic spline,internal_knots=10, lambda=1e-06,0.600000,0.0205531266,0.0318407294,0.0601619542,0.1005258750
PCHIP,shape-preserving cubic,0.600000,0.0264312405,0.0486052518,0.0082905191,0.5700913042
natural cubic spline,internal_knots=6, lambda=1e-08,0.600000,0.0642662577,0.0878405300,0.1037407681,0.2215848819
path polynomial,degree=5+payoff, path LS,0.600000,0.0797951189,0.0992952957,0.1567542545,0.3543277473
Gaussian kernel,bandwidth=8% spot range,0.600000,0.7680148900,0.8637184558,0.7162477477,1.7012966123
ridge B-spline,internal_knots=8, lambda=1e-08,0.800000,0.0049794945,0.0076757504,0.0169065698,0.1112998886
ridge B-spline,internal_knots=14, lambda=1e-06,0.800000,0.0053887041,0.0095936444,0.0054179613,0.1583322079
natural cubic spline,internal_knots=10, lambda=1e-06,0.800000,0.0057516613,0.0069390336,0.0773259940,0.0144886420
LOESS,frac=0.22, local_degree=2,0.800000,0.0064635071,0.0108066626,0.0453031201,0.1593224741
PCHIP,shape-preserving cubic,0.800000,0.0153735368,0.0324972264,0.0081946907,0.3163340049
ridge polynomial,degree=9, lambda=1e-06,0.800000,0.0161435141,0.0217096934,0.1860805566,0.1517493709
natural cubic spline,internal_knots=6, lambda=1e-08,0.800000,0.0196190394,0.0270890031,0.2861768814,0.0717057028
LOESS,frac=0.35, local_degree=2,0.800000,0.0252635193,0.0308559956,0.2152795739,0.1855145732
ridge polynomial,degree=5, lambda=1e-08,0.800000,0.0648189248,0.0777108115,0.7711497908,0.3976673550
path polynomial,degree=5+payoff, path LS,0.800000,0.1475749908,0.1872695355,0.3798695639,0.4655880161
Gaussian kernel,bandwidth=8% spot range,0.800000,0.6362428828,0.7071710357,2.4153909234,1.1049727089
path polynomial,degree=5+payoff, path LS,1.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ridge polynomial,degree=9, lambda=1e-06,1.000000,0.0000082026,0.0000204251,0.0008202573,0.0001149874
ridge polynomial,degree=5, lambda=1e-08,1.000000,0.0000142110,0.0000412071,0.0014211038,0.0001558077
PCHIP,shape-preserving cubic,1.000000,0.0000166529,0.0001359689,0.0000364272,0.0036452030
ridge B-spline,internal_knots=14, lambda=1e-06,1.000000,0.0148937910,0.0423028695,0.8192017482,0.2497632894
natural cubic spline,internal_knots=10, lambda=1e-06,1.000000,0.0300257730,0.0765038317,1.5671224380,0.4123606458
LOESS,frac=0.22, local_degree=2,1.000000,0.0306187852,0.1206697712,1.5204161985,0.6280743127
ridge B-spline,internal_knots=8, lambda=1e-08,1.000000,0.0472691932,0.1091014737,2.4499224851,0.5497441667
LOESS,frac=0.35, local_degree=2,1.000000,0.0743272811,0.2398342885,3.7563135656,1.0749538702
natural cubic spline,internal_knots=6, lambda=1e-08,1.000000,0.0881499394,0.1862879542,4.3725709126,0.8512999579
Gaussian kernel,bandwidth=8% spot range,1.000000,0.5167440759,0.9551432611,34.3450932911,2.8251400403

overall_method,detail,mae,rmse,rel_mae,max_abs_error
ridge polynomial,degree=9, lambda=1e-06,0.0073547173,0.0104767855,0.0413051872,0.1877898898
ridge B-spline,internal_knots=14, lambda=1e-06,0.0087929106,0.0169474951,0.1662867845,0.2497632894
LOESS,frac=0.22, local_degree=2,0.0120874307,0.0334485819,0.3175092563,0.6280743127
ridge B-spline,internal_knots=8, lambda=1e-08,0.0146292590,0.0290667529,0.4949696374,0.5497441667
ridge polynomial,degree=5, lambda=1e-08,0.0192473501,0.0232307415,0.1657296254,0.3976673550
PCHIP,shape-preserving cubic,0.0200925474,0.0360617127,0.0050741515,0.6053925000
natural cubic spline,internal_knots=10, lambda=1e-06,0.0217859462,0.0405062830,0.3474398254,0.4123606458
LOESS,frac=0.35, local_degree=2,0.0261627702,0.0628440780,0.8211423733,1.0749538702
path polynomial,degree=5+payoff, path LS,0.0513565432,0.0643502442,0.1094510721,0.4655880161
natural cubic spline,internal_knots=6, lambda=1e-08,0.0567348042,0.0945675080,0.9641586566,0.8512999579
Gaussian kernel,bandwidth=8% spot range,0.6574579256,0.8451477413,7.5576951176,2.8251400403
