method,day_index,remaining_periods,train_states,train_paths_per_state,train_scenarios_used,benchmark_paths_per_state,validation_states,steps_per_period,max_rel,p99_rel,p95_rel,mae,max_abs,median_noise_ratio,avg_train_stderr,avg_benchmark_stderr
logit_accrued_d19,0,12,321,31153,10000113,500000,41,2,0.1777291359697565,0.16705758283125755,0.10986059260544769,0.4061488923511722,1.242242887872866,48.13586544430065,0.03442970155520621,0.008609519467716199
logit_z_d19,0,12,321,31153,10000113,500000,41,2,0.06595499457278582,0.061049674231851564,0.04814979073927481,0.15972340029382587,0.48918436310742486,15.575928149908579,0.03442970155520621,0.008609519467716199
logit_slv_anisotropic_d19,0,12,321,31153,10000113,500000,41,2,0.006208328605464286,0.004385281599923628,0.0016062406434034344,0.008353946681272604,0.04339329065903996,0.9812085395965315,0.03442970155520621,0.008609519467716199
logit_slv_local_quadratic,0,12,321,31153,10000113,500000,41,2,0.007776357495937597,0.005362365941736949,0.0016803995529265196,0.008697430508843895,0.05435307351367058,0.9749651822829721,0.03442970155520621,0.008609519467716199
adaptive_hybrid,0,12,321,31153,10000113,500000,41,2,0.007776357495937597,0.005362365941736949,0.0016803995529265196,0.008697430508843895,0.05435307351367058,0.9749651822829721,0.03442970155520621,0.008609519467716199
logit_accrued_d19,3,9,321,31153,10000113,500000,41,2,0.9815083923925023,0.9389540314319804,0.6870264947585564,0.9621807745981145,5.42829219045451,57.58552368357066,0.02401750284932249,0.0067041452434292255
logit_z_d19,3,9,321,31153,10000113,500000,41,2,0.38822763477963596,0.3672697346864435,0.31838411871035294,0.6048622501978063,4.936354067933264,28.06387615020441,0.02401750284932249,0.0067041452434292255
logit_slv_anisotropic_d19,3,9,321,31153,10000113,500000,41,2,0.1493834638738279,0.14542182270422063,0.12287858250009039,0.15432457601322896,2.050184905944416,2.884004587982768,0.02401750284932249,0.0067041452434292255
logit_slv_local_quadratic,3,9,321,31153,10000113,500000,41,2,0.024919068927325646,0.022054828657070355,0.01692850504709601,0.033270133931234444,0.1970259127022045,2.812373903603229,0.02401750284932249,0.0067041452434292255
adaptive_hybrid,3,9,321,31153,10000113,500000,41,2,0.024919068927325646,0.022054828657070355,0.01692850504709601,0.033270133931234444,0.1970259127022045,2.812373903603229,0.02401750284932249,0.0067041452434292255
logit_accrued_d19,6,6,321,31153,10000113,500000,41,2,0.8461061957898164,0.783119710538957,0.46560227353917405,0.21078713326268844,0.9594585084408802,38.85479738093775,0.014708790273762222,0.003912461067565811
logit_z_d19,6,6,321,31153,10000113,500000,41,2,0.6409990505491636,0.535835844594871,0.3765775076047064,0.19169429186351802,0.9888217836493851,29.449318700433608,0.014708790273762222,0.003912461067565811
logit_slv_anisotropic_d19,6,6,321,31153,10000113,500000,41,2,0.04043392657052308,0.03345763721810749,0.01912919556253303,0.01474625688622084,0.06726106011979027,2.777488971555258,0.014708790273762222,0.003912461067565811
logit_slv_local_quadratic,6,6,321,31153,10000113,500000,41,2,0.12751101117173777,0.11406980463746194,0.0818533364835107,0.1398207877918488,0.966139181925497,17.414034735478968,0.014708790273762222,0.003912461067565811
adaptive_hybrid,6,6,321,31153,10000113,500000,41,2,0.04043392657052308,0.03345763721810749,0.01912919556253303,0.01474625688622084,0.06726106011979027,2.777488971555258,0.014708790273762222,0.003912461067565811
logit_accrued_d19,9,3,321,31153,10000113,500000,41,2,1.2760818814039745,1.0660188971035804,0.7061000652848176,0.11751865407360965,0.4618145904257176,38.18787495818189,0.01419319908634365,0.0025156378657308735
logit_z_d19,9,3,321,31153,10000113,500000,41,2,0.7732838722475774,0.7218322338835179,0.5007751716984508,0.0674820933500778,0.5984565534800155,8.423262118846157,0.01419319908634365,0.0025156378657308735
logit_slv_anisotropic_d19,9,3,321,31153,10000113,500000,41,2,0.05067467696738826,0.04951847764760272,0.028673046655363413,0.018535041629264257,0.1495944579312578,3.1091800470758075,0.01419319908634365,0.0025156378657308735
logit_slv_local_quadratic,9,3,321,31153,10000113,500000,41,2,0.258794224637255,0.2286375660533296,0.18122865159783186,0.10051497643594876,1.3047185517134139,16.85650410048833,0.01419319908634365,0.0025156378657308735
adaptive_hybrid,9,3,321,31153,10000113,500000,41,2,0.05067467696738826,0.04951847764760272,0.028673046655363413,0.018535041629264257,0.1495944579312578,3.1091800470758075,0.01419319908634365,0.0025156378657308735
logit_accrued_d19,12,0,321,31153,10000113,500000,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logit_z_d19,12,0,321,31153,10000113,500000,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logit_slv_anisotropic_d19,12,0,321,31153,10000113,500000,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logit_slv_local_quadratic,12,0,321,31153,10000113,500000,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adaptive_hybrid,12,0,321,31153,10000113,500000,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
